dóigh	dóin	M	1  d̪ˠ oː . 0  i nʲ
balla	falla	M	1  fˠ a . 0  lˠ ə
bhalla	fhalla	M	1  a . 0  lˠ ə
mballa	bhfalla	M	1  vˠ a . 0  lˠ ə
ballaí	fallaí	M	0  fˠ a . 1  lˠ iː
bhallaí	fhallaí	M	0 a . 1  lˠ iː
mballaí	bhfallaí	M	0  vˠ a . 1  lˠ iː
ballaí	fallaibh	M	1 fˠ a . 0  lˠ ə vʲ
bhallaí	fhallaibh	M	1  a . 0  lˠ ə vʲ
mballaí	bhfallaibh	M	1  vˠ a . 0  lˠ ə vʲ
feicim	chím	M	1  ç iː mʲ
feicim	cím	M	1  c iː mʲ
feicim	tím	U	1  tʲ iː mʲ
insíonn tú	insír	M	1  i nʲ . 1  ʃ iː ɾʲ
insíonn siad	insíd	M	1  i nʲ . 1  ʃ iː dʲ
faoileán	faoileog	U	  fˠ iː lʲ o ɡ
garsún	gasúr	U	1  ɡ a . 0  sˠ u ɾˠ
gnóthach	gnóitheach	U	  ɡ n̻ˠ oː hʲ a h
éigin	inteacht	U	2  i n̻ʲ . 1  tʲ a x t̪ˠ	2  i n̻ʲ . 1  tʲ a ɾˠ t̪ˠ
éigin	eicint	C	0  ə . 1  c iː n̻ˠ tʲ
bord	tábla	U	1  t̪ˠ aː bˠ . 0  l̻ˠ ə
freisin	fosta	U	1  fˠ o sˠ . 0  t̪ˠ ə
deacair	doiligh	U	1  d̪ˠ o . 0  lʲ iː
nóiméad	bomaite	U	1  bˠ o . 0  mˠ i . 0  tʲ ə
cora	caraidh	U	k a ɾˠ iː
cloisim	cluinim	U	k l̻ˠ i nʲ i mʲ
gnó	gnaith	C	1  ɡ n̻ˠ a
tosú	toisiú	C	1  t̪ˠ o . 0  ʃ uː
teacht	tíocht	C	1  tʲ iː x t̪ˠ
bricfeásta	briocast	M	1  bʲ ɾʲ i . 0  k ə sˠ t̪ˠ
Meiriceá	Meirice	M	1  mʲ e . 0  ɾʲ ə . 0  c ə
Meiriceá	Aimeirice	M	1  a . 0  mʲ ə . 0  ɾʲ ə . 0  c ə
insint	inse	U	1  i n̻ʲ . 0  ʃ ə
lagú	lagachan	C	1  l̻ˠ a . 1  ɡ a . 0  x ə n̻ˠ
leanúint	leanacht	C	1  l̻ʲ a . 0  n̻ˠ ə x t̪ˠ
