n-abair	ˈ n̻ˠ a bˠ ə ɾʲ
m'abair	ˈ mˠ a bˠ ə ɾʲ
b'abair	ˈ bˠ a bˠ ə ɾʲ
d'abair	ˈ d̪ˠ a bˠ ə ɾʲ
n-ábalta	ˈ n̻ˠ aː bˠ ə l̻ˠ t̪ˠ ə
b'ábalta	ˈ bˠ aː bˠ ə l̻ˠ t̪ˠ ə
n-ab	n̻ˠ ə bˠ
m'ab	mˠ ə bˠ
b'ab	bˠ ə bˠ
t-ab	t̪ˠ ə bˠ
d'ab	d̪ˠ ə bˠ
n-aeraíocht	ˈ n̻ˠ eː ɾˠ iˑə x t̪ˠ
m'aeraíocht	ˈ mˠ eː ɾˠ iˑə x t̪ˠ
b'aeraíocht	ˈ bˠ eː ɾˠ iˑə x t̪ˠ
d'aeraíocht	ˈ d̪ˠ eː ɾˠ iˑə x t̪ˠ
n-aghaidh	ˈ n̻ˠ ai
m'aghaidh	ˈ mˠ ai
b'aghaidh	ˈ bˠ ai
d'aghaidh	ˈ d̪ˠ ai
n-aice	ˈ n̻ˠ a c ə
m'aice	ˈ mˠ a c ə
b'aice	ˈ bˠ a c ə
d'aice	ˈ d̪ˠ a c ə
n-aicisí	ˈ n̻ˠ a c ə ʃ iː
b'aicisí	ˈ bˠ a c ə ʃ iː
n-aicme	ˈ n̻ˠ a c mʲ ə
m'aicme	ˈ mˠ a c mʲ ə
b'aicme	ˈ bˠ a c mʲ ə
d'aicme	ˈ d̪ˠ a c mʲ ə
n-aidhm	ˈ n̻ˠ ai mʲ
m'aidhm	ˈ mˠ ai mʲ
b'aidhm	ˈ bˠ ai mʲ
d'aidhm	ˈ d̪ˠ ai mʲ
n-aighneas	ˈ n̻ˠ ai nʲ ə sˠ
m'aighneas	ˈ mˠ ai nʲ ə sˠ
b'aighneas	ˈ bˠ ai nʲ ə sˠ
t-aighneas	ˈ t̪ˠ ai nʲ ə sˠ
d'aighneas	ˈ d̪ˠ ai nʲ ə sˠ
n-aighnis	ˈ n̻ˠ ai nʲ ə ʃ
m'aighnis	ˈ mˠ ai nʲ ə ʃ
b'aighnis	ˈ bˠ ai nʲ ə ʃ
d'aighnis	ˈ d̪ˠ ai nʲ ə ʃ
n-aigne	ˈ n̻ˠ a ɟ nʲ ə
m'aigne	ˈ mˠ a ɟ nʲ ə
b'aigne	ˈ bˠ a ɟ nʲ ə
d'aigne	ˈ d̪ˠ a ɟ nʲ ə
n-áil	ˈ n̻ˠ aː lʲ
m'áil	ˈ mˠ aː lʲ
b'áil	ˈ bˠ aː lʲ
d'áil	ˈ d̪ˠ aː lʲ
mb'áil	ˈ mˠ aː lʲ
n-áilleacht	ˈ n̻ˠ aː l̻ʲ ə x t̪ˠ
m'áilleacht	ˈ mˠ aː l̻ʲ ə x t̪ˠ
b'áilleacht	ˈ bˠ aː l̻ʲ ə x t̪ˠ
d'áilleacht	ˈ d̪ˠ aː l̻ʲ ə x t̪ˠ
n-aimsir	ˈ n̻ˠ a mʲ ʃ ə ɾʲ
m'aimsir	ˈ mˠ a mʲ ʃ ə ɾʲ
b'aimsir	ˈ bˠ a mʲ ʃ ə ɾʲ
d'aimsir	ˈ d̪ˠ a mʲ ʃ ə ɾʲ
n-aimsire	ˈ n̻ˠ a mʲ ʃ ə ɾʲ ə
m'aimsire	ˈ mˠ a mʲ ʃ ə ɾʲ ə
b'aimsire	ˈ bˠ a mʲ ʃ ə ɾʲ ə
d'aimsire	ˈ d̪ˠ a mʲ ʃ ə ɾʲ ə
n-aingeal	ˈ n̻ˠ a ɲ ɟ ə l̻ˠ
m'aingeal	ˈ mˠ a ɲ ɟ ə l̻ˠ
b'aingeal	ˈ bˠ a ɲ ɟ ə l̻ˠ
t-aingeal	ˈ t̪ˠ a ɲ ɟ ə l̻ˠ
d'aingeal	ˈ d̪ˠ a ɲ ɟ ə l̻ˠ
n-ainm	ˈ n̻ˠ a nʲ ə mʲ
m'ainm	ˈ mˠ a nʲ ə mʲ
b'ainm	ˈ bˠ a nʲ ə mʲ
t-ainm	ˈ t̪ˠ a nʲ ə mʲ
d'ainm	ˈ d̪ˠ a nʲ ə mʲ
n-airc	ˈ n̻ˠ a ɾʲ c
m'airc	ˈ mˠ a ɾʲ c
b'airc	ˈ bˠ a ɾʲ c
d'airc	ˈ d̪ˠ a ɾʲ c
n-airde	ˈ n̻ˠ iː ɾˠ dʲ ə
m'airde	ˈ mˠ iː ɾˠ dʲ ə
b'airde	ˈ bˠ iː ɾˠ dʲ ə
d'airde	ˈ d̪ˠ iː ɾˠ dʲ ə
n-air	ˈ n̻ˠ e ɾʲ
m'air	ˈ mˠ e ɾʲ
b'air	ˈ bˠ e ɾʲ
d'air	ˈ d̪ˠ e ɾʲ
n-airgead	ˈ n̻ˠ a ɾʲ ə ɟ ə d̪ˠ
m'airgead	ˈ mˠ a ɾʲ ə ɟ ə d̪ˠ
b'airgead	ˈ bˠ a ɾʲ ə ɟ ə d̪ˠ
t-airgead	ˈ t̪ˠ a ɾʲ ə ɟ ə d̪ˠ
d'airgead	ˈ d̪ˠ a ɾʲ ə ɟ ə d̪ˠ
n-airigh	ˈ n̻ˠ a ɾʲ ə
b'airigh	ˈ bˠ a ɾʲ ə
d'airigh	ˈ d̪ˠ a ɾʲ ə
n-airíodar	ˈ n̻ˠ a ɾʲ iˑə d̪ˠ ə ɾˠ
d'airíodar	ˈ d̪ˠ a ɾʲ iˑə d̪ˠ ə ɾˠ
n-ais	ˈ n̻ˠ a ʃ
m'ais	ˈ mˠ a ʃ
b'ais	ˈ bˠ a ʃ
d'ais	ˈ d̪ˠ a ʃ
n-ait	ˈ n̻ˠ a tʲ
m'ait	ˈ mˠ a tʲ
b'ait	ˈ bˠ a tʲ
d'ait	ˈ d̪ˠ a tʲ
n-áit	ˈ n̻ˠ aː tʲ
m'áit	ˈ mˠ aː tʲ
b'áit	ˈ bˠ aː tʲ
d'áit	ˈ d̪ˠ aː tʲ
n-aithne	ˈ n̻ˠ a nʲ ə
m'aithne	ˈ mˠ a nʲ ə
b'aithne	ˈ bˠ a nʲ ə
d'aithne	ˈ d̪ˠ a nʲ ə
n-allta	ˈ n̻ˠ aː l̻ˠ t̪ˠ ə
b'allta	ˈ bˠ aː l̻ˠ t̪ˠ ə
n-alltacht	ˈ n̻ˠ aː l̻ˠ t̪ˠ ə x t̪ˠ
m'alltacht	ˈ mˠ aː l̻ˠ t̪ˠ ə x t̪ˠ
b'alltacht	ˈ bˠ aː l̻ˠ t̪ˠ ə x t̪ˠ
d'alltacht	ˈ d̪ˠ aː l̻ˠ t̪ˠ ə x t̪ˠ
n-amas	ˈ n̻ˠ a mˠ ə sˠ
m'amas	ˈ mˠ a mˠ ə sˠ
