t-ab	t̪ˠ a bˠ
b'ab	bˠ a bˠ
n-ab	n̻ˠ a bˠ
d'ab	d̪ˠ a bˠ
m'ab	mˠ a bˠ
b'abair	bˠ a bˠ ə ɾʲ
n-abair	n̻ˠ a bˠ ə ɾʲ
d'abair	d̪ˠ a bˠ ə ɾʲ
m'abair	mˠ a bˠ ə ɾʲ
b'ábalta	ˈ bˠ aː bˠ ə l̻ˠ t̪ˠ ə
n-ábalta	ˈ n̻ˠ aː bˠ ə l̻ˠ t̪ˠ ə
b'aeraíocht	ˈ bˠ eː ɾˠ iː a x t̪ˠ
n-aeraíocht	ˈ n̻ˠ eː ɾˠ iː a x t̪ˠ
d'aeraíocht	ˈ d̪ˠ eː ɾˠ iː a x t̪ˠ
m'aeraíocht	ˈ mˠ eː ɾˠ iː a x t̪ˠ
b'aghaidh	ˈ bˠ eː j
n-aghaidh	ˈ n̻ˠ eː j
d'aghaidh	ˈ d̪ˠ eː j
m'aghaidh	ˈ mˠ eː j
b'aice	ˈ bˠ a c ə
n-aice	ˈ n̻ˠ a c ə
d'aice	ˈ d̪ˠ a c ə
m'aice	ˈ mˠ a c ə
b'aicisí	bˠ a c i ʃ iː
n-aicisí	n̻ˠ a c i ʃ iː
b'aicme	ˈ bˠ a c mʲ ə
n-aicme	ˈ n̻ˠ a c mʲ ə
d'aicme	ˈ d̪ˠ a c mʲ ə
m'aicme	ˈ mˠ a c mʲ ə
b'aidhm	ˈ bˠ eː mʲ
n-aidhm	ˈ n̻ˠ eː mʲ
d'aidhm	ˈ d̪ˠ eː mʲ
m'aidhm	ˈ mˠ eː mʲ
t-aighneas	ˈ t̪ˠ ai nʲ ə sˠ
b'aighneas	ˈ bˠ ai nʲ ə sˠ
n-aighneas	ˈ n̻ˠ ai nʲ ə sˠ
d'aighneas	ˈ d̪ˠ ai nʲ ə sˠ
m'aighneas	ˈ mˠ ai nʲ ə sˠ
b'aighnis	bˠ ai nʲ i ʃ
n-aighnis	n̻ˠ ai nʲ i ʃ
d'aighnis	d̪ˠ ai nʲ i ʃ
m'aighnis	mˠ ai nʲ i ʃ
b'aigne	ˈ bˠ a ɟ nʲ ə
n-aigne	ˈ n̻ˠ a ɟ nʲ ə
d'aigne	ˈ d̪ˠ a ɟ nʲ ə
m'aigne	ˈ mˠ a ɟ nʲ ə
mb'áil	ˈ mˠ aː lʲ
b'áil	ˈ bˠ aː lʲ
n-áil	ˈ n̻ˠ aː lʲ
d'áil	ˈ d̪ˠ aː lʲ
m'áil	ˈ mˠ aː lʲ
b'áilleacht	ˈ bˠ aː l̻ʲ a x t̪ˠ
n-áilleacht	ˈ n̻ˠ aː l̻ʲ a x t̪ˠ
d'áilleacht	ˈ d̪ˠ aː l̻ʲ a x t̪ˠ
m'áilleacht	ˈ mˠ aː l̻ʲ a x t̪ˠ
b'aimsir	ˈ bˠ a mʲ ʃ ə ɾʲ
n-aimsir	ˈ n̻ˠ a mʲ ʃ ə ɾʲ
d'aimsir	ˈ d̪ˠ a mʲ ʃ ə ɾʲ
m'aimsir	ˈ mˠ a mʲ ʃ ə ɾʲ
b'aimsire	ˈ bˠ a mʲ ʃ ə ɾʲ ə
n-aimsire	ˈ n̻ˠ a mʲ ʃ ə ɾʲ ə
d'aimsire	ˈ d̪ˠ a mʲ ʃ ə ɾʲ ə
m'aimsire	ˈ mˠ a mʲ ʃ ə ɾʲ ə
t-aingeal	ˈ t̪ˠ a ɲ ɟ ə l̻ˠ
b'aingeal	ˈ bˠ a ɲ ɟ ə l̻ˠ
n-aingeal	ˈ n̻ˠ a ɲ ɟ ə l̻ˠ
d'aingeal	ˈ d̪ˠ a ɲ ɟ ə l̻ˠ
m'aingeal	ˈ mˠ a ɲ ɟ ə l̻ˠ
t-ainm	ˈ t̪ˠ a nʲ ə mʲ
b'ainm	ˈ bˠ a nʲ ə mʲ
n-ainm	ˈ n̻ˠ a nʲ ə mʲ
d'ainm	ˈ d̪ˠ a nʲ ə mʲ
m'ainm	ˈ mˠ a nʲ ə mʲ
b'airc	ˈ bˠ a ɾʲ c
n-airc	ˈ n̻ˠ a ɾʲ c
d'airc	ˈ d̪ˠ a ɾʲ c
m'airc	ˈ mˠ a ɾʲ c
b'airde	bˠ a ɾˠ dʲ ə
n-airde	n̻ˠ a ɾˠ dʲ ə
d'airde	d̪ˠ a ɾˠ dʲ ə
m'airde	mˠ a ɾˠ dʲ ə
b'airde	ˈ bˠ aː ɾʲ dʲ ə
n-airde	ˈ n̻ˠ aː ɾʲ dʲ ə
d'airde	ˈ d̪ˠ aː ɾʲ dʲ ə
m'airde	ˈ mˠ aː ɾʲ dʲ ə
b'air	ˈ bˠ e ɾʲ
n-air	ˈ n̻ˠ e ɾʲ
d'air	ˈ d̪ˠ e ɾʲ
m'air	ˈ mˠ e ɾʲ
t-airgead	ˈ t̪ˠ a ɾʲ ə ɟ ə d̪ˠ
b'airgead	ˈ bˠ a ɾʲ ə ɟ ə d̪ˠ
n-airgead	ˈ n̻ˠ a ɾʲ ə ɟ ə d̪ˠ
d'airgead	ˈ d̪ˠ a ɾʲ ə ɟ ə d̪ˠ
m'airgead	ˈ mˠ a ɾʲ ə ɟ ə d̪ˠ
b'airigh	ˈ bˠ a ɾʲ iː
n-airigh	ˈ n̻ˠ a ɾʲ iː
d'airigh	ˈ d̪ˠ a ɾʲ iː
n-airíodar	n̻ˠ a ɾʲ iː d̪ˠ ə ɾˠ
d'airíodar	d̪ˠ a ɾʲ iː d̪ˠ ə ɾˠ
b'ais	ˈ bˠ a ʃ
n-ais	ˈ n̻ˠ a ʃ
d'ais	ˈ d̪ˠ a ʃ
m'ais	ˈ mˠ a ʃ
b'ait	ˈ bˠ a tʲ
n-ait	ˈ n̻ˠ a tʲ
d'ait	ˈ d̪ˠ a tʲ
m'ait	ˈ mˠ a tʲ
b'áit	ˈ bˠ aː tʲ
n-áit	ˈ n̻ˠ aː tʲ
d'áit	ˈ d̪ˠ aː tʲ
m'áit	ˈ mˠ aː tʲ
b'aithne	ˈ bˠ ai hʲ nʲ ə
n-aithne	ˈ n̻ˠ ai hʲ nʲ ə
d'aithne	ˈ d̪ˠ ai hʲ nʲ ə
m'aithne	ˈ mˠ ai hʲ nʲ ə
b'alltacht	ˈ bˠ o l̻ˠ t̪ˠ a x t̪ˠ
n-alltacht	ˈ n̻ˠ o l̻ˠ t̪ˠ a x t̪ˠ
d'alltacht	ˈ d̪ˠ o l̻ˠ t̪ˠ a x t̪ˠ
m'alltacht	ˈ mˠ o l̻ˠ t̪ˠ a x t̪ˠ
b'allta	ˈ bˠ o l̻ˠ t̪ˠ ə
n-allta	ˈ n̻ˠ o l̻ˠ t̪ˠ ə
t-amas	ˈ t̪ˠ a mˠ ə sˠ
b'amas	ˈ bˠ a mˠ ə sˠ
n-amas	ˈ n̻ˠ a mˠ ə sˠ
d'amas	ˈ d̪ˠ a mˠ ə sˠ
m'amas	ˈ mˠ a mˠ ə sˠ
b'amháin	bˠ ə ˈ vˠ aː nʲ
n-amháin	n̻ˠ ə ˈ vˠ aː nʲ
b'amhlaidh	ˈ bˠ au l̻ˠ iː
t-amhras	ˈ t̪ˠ au ɾˠ ə sˠ
b'amhras	ˈ bˠ au ɾˠ ə sˠ
n-amhras	ˈ n̻ˠ au ɾˠ ə sˠ
d'amhras	ˈ d̪ˠ au ɾˠ ə sˠ
m'amhras	ˈ mˠ au ɾˠ ə sˠ
t-amú	t̪ˠ ə ˈ mˠ uː
b'amú	bˠ ə ˈ mˠ uː
n-amú	n̻ˠ ə ˈ mˠ uː
d'amú	d̪ˠ ə ˈ mˠ uː
m'amú	mˠ ə ˈ mˠ uː
b'ana	bˠ a n̻ˠ ə
n-ana	n̻ˠ a n̻ˠ ə
d'ana	d̪ˠ a n̻ˠ ə
m'ana	mˠ a n̻ˠ ə
b'anacair	ˈ bˠ a n̻ˠ ə k ə ɾʲ
n-anacair	ˈ n̻ˠ a n̻ˠ ə k ə ɾʲ
d'anacair	ˈ d̪ˠ a n̻ˠ ə k ə ɾʲ
m'anacair	ˈ mˠ a n̻ˠ ə k ə ɾʲ
b'anama	bˠ a n̻ˠ ə mˠ ə
n-anama	n̻ˠ a n̻ˠ ə mˠ ə
d'anama	d̪ˠ a n̻ˠ ə mˠ ə
m'anama	mˠ a n̻ˠ ə mˠ ə
t-anam	ˈ t̪ˠ a n̻ˠ ə mˠ
b'anam	ˈ bˠ a n̻ˠ ə mˠ
n-anam	ˈ n̻ˠ a n̻ˠ ə mˠ
d'anam	ˈ d̪ˠ a n̻ˠ ə mˠ
m'anam	ˈ mˠ a n̻ˠ ə mˠ
t-aon	ˈ t̪ˠ eː n̻ˠ
b'aon	ˈ bˠ eː n̻ˠ
n-aon	ˈ n̻ˠ eː n̻ˠ
d'aon	ˈ d̪ˠ eː n̻ˠ
m'aon	ˈ mˠ eː n̻ˠ
t-aos	ˈ t̪ˠ iː sˠ
b'aos	ˈ bˠ iː sˠ
n-aos	ˈ n̻ˠ iː sˠ
