á	aː
ab	a bˠ
abair	a bˠ ə ɾʲ
ábalta	ˈ aː bˠ ə l̻ˠ t̪ˠ ə
abhaile	ə ˈ vˠ a lʲ ə
ach	ˈ a h
acu	ˈ a k uː
aduaidh	ə ˈ d̪ˠ ua j
adúbradh	a d̪ˠ uː bˠ ɾˠ uː
a	ə
aeraíocht	ˈ eː ɾˠ iː a x t̪ˠ
agaibh	ˈ ə ɡ ə vʲ
agaibhse	a ɡ ə vʲ ʃ ə
againn	ˈ ə ɡ ə n̻ʲ
agam	ˈ ə ɡ ə mˠ
agamsa	ˈ ə ɡ ə mˠ sˠ ə
agat	ˈ ə ɡ ə t̪ˠ
ag	ˈ e ɟ
aghaidh	ˈ eː j
agus	ˈ ə ɡ ə sˠ
aice	ˈ a c ə
aici	ˈ e c iː
aicisí	a c i ʃ iː
aicme	ˈ a c mʲ ə
aidhm	ˈ eː mʲ
aige	ˈ e ɟ ə
aigesean	a ɟ ə ʃ ə n̻ˠ
aighneas	ˈ ai nʲ ə sˠ
aighnis	ai nʲ i ʃ
aigne	ˈ a ɟ nʲ ə
áil	ˈ aː lʲ
áilleacht	ˈ aː l̻ʲ a x t̪ˠ
aimsir	ˈ a mʲ ʃ ə ɾʲ
aimsire	ˈ a mʲ ʃ ə ɾʲ ə
aingeal	ˈ a ɲ ɟ ə l̻ˠ
ainm	ˈ a nʲ ə mʲ
airc	ˈ a ɾʲ c
airde	a ɾˠ dʲ ə
airde	ˈ aː ɾʲ dʲ ə
air	ˈ e ɾʲ
airgead	ˈ a ɾʲ ə ɟ ə d̪ˠ
airigh	ˈ a ɾʲ iː
airighdís	a ɾʲ iː dʲ iː ʃ
airíodar	a ɾʲ iː d̪ˠ ə ɾˠ
ais	ˈ a ʃ
aisti	ˈ a ʃ tʲ iː
ait	ˈ a tʲ
áit	ˈ aː tʲ
aitean	a tʲ ə n̻ˠ
aithne	ˈ ai hʲ nʲ ə
alltacht	ˈ o l̻ˠ t̪ˠ a x t̪ˠ
allta	ˈ o l̻ˠ t̪ˠ ə
amach	ə ˈ mˠ a h
amas	ˈ a mˠ ə sˠ
amháin	ə ˈ vˠ aː nʲ
amhlaidh	ˈ au l̻ˠ iː
amhras	ˈ au ɾˠ ə sˠ
amú	ə ˈ mˠ uː
amuigh	ə ˈ mˠ i j
ana	a n̻ˠ ə
anacair	ˈ a n̻ˠ ə k ə ɾʲ
anall	ə ˈ n̻ˠ aː l̻ˠ
anama	a n̻ˠ ə mˠ ə
anam	ˈ a n̻ˠ ə mˠ
an-bheag	a n̻ˠ vʲ a ɡ
an	ˈ ə n̻ˠ
aniar	ə ˈ n̻ʲ ia ɾˠ
aníos	ə ˈ nʲ iː sˠ
an-mhaith	a n̻ˠ vˠ ai ç
an-mhór	a n̻ˠ vˠ oː ɾˠ
ann	ˈ ə n̻ˠ
anois	ə ˈ n̻ˠ i ʃ
anonn	ə ˈ n̻ˠ o n̻ˠ
anuas	ə ˈ n̻ˠ ua sˠ
aon	ˈ eː n̻ˠ
aos	ˈ iː sˠ
ár	ˈ aː ɾˠ
aráin	ˈ a ɾˠ a nʲ
arán	ˈ a ɾˠ a n̻ˠ
araon	ˈ ə ɾˠ i n̻ˠ
arbhair	a ɾˠ ə vˠ ə ɾʲ
ar	ˈ e ɾʲ
arís	ə ˈ ɾʲ iː ʃ
arm	ˈ a ɾˠ ə mˠ
armáil	ˈ a ɾˠ ə mˠ a lʲ
arsa	ˈ e ɾˠ sˠ ə
arsan	a ɾˠ sˠ ə n̻ˠ
as	ˈ a sˠ
astu	ˈ a sˠ t̪ˠ uː
atá	ə ˈ t̪ˠ aː
atáim	a t̪ˠ a mʲ
athair	ˈ a h ə ɾʲ
athar	a h ə ɾˠ
áthas	ˈ aː h ə sˠ
ath-léighte	a h lʲ eː j tʲ ə
aturnae	ˈ a t̪ˠ u ɾˠ n̻ˠ eː
ba	ˈ bˠ ə
bac	ˈ bˠ a k
baclainn	ˈ bˠ a k l̻ˠ ə n̻ʲ
bácús	ˈ bˠ aː k u sˠ
baile	ˈ bˠ a lʲ ə
bailithe	bˠ a lʲ iː
baineadh	ˈ bˠ a n̻ʲ uː
báine	ˈ bˠ aː nʲ ə
bainne	ˈ bˠ a n̻ʲ ə
baint	ˈ bˠ a nʲ tʲ
bainte	bˠ a nʲ tʲ ə
báis	bˠ aː ʃ
balcais	ˈ bˠ o l̻ˠ k ə ʃ
ball	ˈ bˠ aː l̻ˠ
b'amhlaidh	bˠ au l̻ˠ iː
bána	bˠ aː n̻ˠ ə
ban	ˈ bˠ a n̻ˠ
bán	ˈ bˠ aː n̻ˠ
baol	ˈ bˠ iː l̻ˠ
b'ar	bˠ a ɾˠ
barr	ˈ bˠ aː ɾˠ
bás	ˈ bˠ aː sˠ
bata	ˈ bˠ a t̪ˠ ə
beaga	ˈ bʲ o ɡ ə
beagáinín	bʲ i ɡ aː nʲ iː nʲ
beagán	ˈ bʲ o ɡ a n̻ˠ
beag	ˈ bʲ o ɡ
béal	ˈ bʲ eː l̻ˠ
bean	ˈ bʲ a n̻ˠ
beannacht	ˈ bʲ a n̻ˠ a x t̪ˠ
beann	ˈ bʲ a n̻ˠ
bearna	ˈ bʲ aː ɾˠ n̻ˠ ə
bearnach	ˈ bʲ aː ɾˠ n̻ˠ a h
beatha	ˈ bʲ a h ə
b'é	ˈ bʲ eː
beidh	bʲ eː
beidh	ˈ bʲ eː j
b'éigean	ˈ bʲ eː ɟ ə n̻ˠ
béil	bʲ eː lʲ
béile	ˈ bʲ eː lʲ ə
beirt	ˈ bʲ e ɾʲ tʲ
beithíoch	ˈ bʲ ai hʲ iː a h
beo	ˈ bʲ oː
b'fhearr	ˈ bʲ aː ɾˠ
b'fhéidir	ˈ bʲ eː dʲ i ɾʲ
bhácáil	vˠ aː k a lʲ
bhácúis	vˠ aː k u ʃ
bhaile	ˈ vˠ a lʲ ə
bhail	ˈ vˠ a lʲ
bhainfeadh	ˈ vˠ i n̻ʲ uː
bhaint	ˈ vˠ a nʲ tʲ
bhairille	vˠ a ɾʲ i l̻ʲ ə
bháis	ˈ vˠ aː ʃ
bhall	vˠ o l̻ˠ
bhán	ˈ vˠ aː n̻ˠ
